      2 G. vaginalis
     23 H. acute
      1 H. annosum
      8 H. bladder
    163 H. breast
    161 H. cervical
    104 H. colon
      1 H. ducreyi
      8 H. epidermoid
     19 H. erythroleukemia
      1 H. fibrosarcoma
     40 H. gastric
     30 H. glioblastoma
     14 H. hepatocarcinoma
     81 H. hepatocellular
     77 H. histiocytic
     18 H. influenzae
      1 H. inﬂuenzae
      6 H. kidney
      5 H. leukaemia
      6 H. liver
    170 H. lung
     40 H. lymphoblastic
     15 H. melanoma
     27 H. myelogenous
      1 H. nasopharyngeal
      1 H. neuroblastoma
     13 H. ovarian
     22 H. pancreatic
      4 H. parasuis
     16 H. promyelocytic
     49 H. prostate
      1 H. pulchellus
     13 H. pylori
      9 H. renal
      9 H. rhabdomyosarcoma
      2 H. sativum
     10 H. simplex
     15 H. skin
      1 H. somni
      1 H. spp
     21 H. squamous
      1 I. molecular
     14 J. cancer
     30 J. cells
      3 K. aerogenes
      1 K. cryocrescens
     50 K. oxytoca
      1 K. ozaenae
     98 K. pneumonia
   1060 K. pneumoniae
     13 K. rhizophila
      4 K. sp
      1 K. terrigena
     22 L. acidophilus
      2 L. algicola
      3 L. alimentarius
      1 L. amazonensis
     12 L. anguillarum
      2 L. bozemanii
      6 L. braziliensis
      4 L. brevis
      2 L. bulgaricus
     26 L. casei
      1 L. corenyformis
      1 L. corymbifera
      2 L. coryneformis
      7 L. coryniformis
      3 L. curvatus
      2 L. denitrificans
      3 L. donovani
      2 L. dumofii
      2 L. feeleii
      1 L. fermenti
      8 L. fermentum
     21 L. fleischmannii
      1 L. garviae
     45 L. garvieae
     25 L. grayi
     22 L. infantum
    185 L. innocua
     31 L. ivanovii
      3 L. kimchii
    179 L. lactis
      2 L. longbeachae
     13 L. maculans
     18 L. major
     19 L. mesenteroides
      4 L. mexicana
      2 L. micdadei
      1 L. moncyrogenes
      2 L. monocytogene
    404 L. monocytogenes
      1 L. monocytogenes.gram-negative
      1 L. mucor
      1 L. murrayi
      2 L. oakridgensis
      1 L. paracasei
     25 L. plantarum
      8 L. pneumophila
      1 L. raffinolactis
      1 L. reuteri
      1 L. rhamnosus
     45 L. sakei
      8 L. seeligeri
      7 L. sp
      1 L. tropica
      2 L. viridescens
      1 L. welshimeri
      1 M. abscessus
      1 M. albican
      1 M. albicans
      4 M. anisopliae
     11 M. arachidicola
      1 M. audouinii
      2 M. avidus
      5 M. avium
     12 M. bovis
     10 M. canis
      6 M. catarrhalis
      4 M. cells
      2 M. circinelloides
      1 M. citreus
      3 M. eumusae
      1 M. fortuitum
     19 M. furfur
      7 M. gallisepticum
     13 M. grisea
      1 M. gypseum
     17 M. haemolytica
      1 M. hominis
      1 M. humenis
      1 M. lutes
   1119 M. luteus
      4 M. lymphocytic
     55 M. lysodeikticus
     13 M. maritypicum
      6 M. morganii
      5 M. mycoides
      4 M. myeloma
      2 M. nishinomiyaensis
      2 M. oxydans
      1 M. phaseolina
      2 M. phlei
      1 M. s
      2 M. scarlatinae
     12 M. skin
     60 M. smegmatis
      1 M. spp
      2 M. sympodialis
     73 M. tuberculosis
      6 M. vaccae
      1 M. viscosa
     94 N. asteroides
     16 N. brasiliensis
      1 N. catrrhalis
      3 N. cinerea
     68 N. crassa
     41 N. gonorrhoeae
      3 N. gonorrhoeoe
     33 N. haematococca
      3 N. iactamica
      8 N. meningitidis
      2 N. spp
      1 O. carcinoma
      1 O. cayaporum
      5 O. epidermoid
     11 P. acidilactici
      4 P. acidipropionici
      1 P. acidolacrici
      2 P. acidovorans
     84 P. acnes
      2 P. aeroginosa
   4966 P. aeruginosa
      3 P. aeruginsa
      2 P. alginovora
      4 P. anaerobius
      1 P. apacia
      2 P. aphanidermatum
      4 P. asaccharolyticus
      1 P. azadirachtae
      7 P. betae
      2 P. capsici
     70 P. carotovorum
      1 P. cepacia
      1 P. chrysogenum
      1 P. cichorii
      6 P. citreus
      2 P. coronata
     70 P. corrugata
     10 P. crustosum
      7 P. cryptogea
      2 P. cucumerina
      1 P. curious
     16 P. dameselae
      1 P. damsela
      6 P. damselae
      3 P. debaryanum
      3 P. denitrificans
      9 P. dextrinicus
     27 P. digitatum
      2 P. diospyri
      4 P. etchellsii
      3 P. exigua
     36 P. expansum
     84 P. faecalis
     18 P. falciparum
      1 P. flourescences
      2 P. fluorences
     95 P. fluorescens
      4 P. fluorescent
     12 P. freudenreichii
     24 P. gingivalis
      1 P. glumae
      1 P. graminicola
      1 P. granivorans
      3 P. grisea
     12 P. haemolytica
      1 P. heliothis
      1 P. immobilis
      2 P. immobilisc
      6 P. infestans
     14 P. italicum
      2 P. jensenii
      1 P. lachrymans
      2 P. larvae
      1 P. lilacinum
      4 P. litchii
      1 P. luteola
      2 P. macerans
      2 P. maculicola
     17 P. maltophilia
      4 P. melaninogenica
      2 P. micros
    203 P. mirabilis
     96 P. multocida
      4 P. nicotianae
      1 P. nigrella
      5 P. oryzae
      6 P. parasitica
     51 P. pastoris
     25 P. pentosaceus
      7 P. pickettii
      4 P. piricola
      2 P. pisi
      2 P. polymyxa
    108 P. putida
      1 P. pyocyanea
      3 P. rettgeri
      1 P. roqueforti
      1 P. rubrilineans
      1 P. s
      2 P. sarana
      2 P. shigelloides
      5 P. solanacearum
      2 P. sorghi
     32 P. sp
      2 P. sp.
      1 P. species
      1 P. spiniger
      1 P. ssp
      1 P. stipitis
      1 P. stiptis
      5 P. stuartii
     20 P. stutzeri
    370 P. syringae
      2 P. tannophilus
      2 P. thoenii
      4 P. thomii
     16 P. trehalosi
      2 P. tritici
      7 P. ultimum
      2 P. uticale
      1 P. valerianella
    173 P. vulgaris
     21 R. cerealis
      3 R. equi
      6 R. eutropha
      3 R. gnavus
      1 R. homothallicus
     10 R. meliloti
      3 R. nasimurium
      2 R. obeum
      4 R. oryzae
      1 R. pheochromocytoma
      1 R. prolixus
      3 R. radiobacter
     45 R. rhodochrous
      8 R. rubra
      3 R. solanacearum
     55 R. solani
      3 R. sp
      1 R. sphenocephala
     13 R. stolonifer
      1 S. a
     72 S. agalactiae
      1 S. agalactiaea
      5 S. alactolyticus
      2 S. albus
      1 S. alpha
      1 S. anatum
      3 S. anginosus
      2 S. apiospermum
      2 S. apis
      5 S. arizonae
      1 S. aureu
   8954 S. aureus
      1 S. aureuss
      1 S. beta
     25 S. bovis
     27 S. capitis
     45 S. carnosus
    284 S. cerevisiae
     34 S. choleraesuis
      8 S. citri
      2 S. coag
      2 S. cohnii
      1 S. dysemeriae
     25 S. dysentariae
    114 S. dysenteriae
      1 S. dysentery
      8 S. dysgalactiae
    435 S. enterica
     91 S. enteritidis
   1420 S. epidermidis
     30 S. epidermis
      1 S. epidermius
      3 S. equi
      5 S. equinus
      1 S. equisimilis
     28 S. faecalis
      7 S. fecalis
     75 S. flexneri
      7 S. floricola
      1 S. frugiperda
      1 S. gallinarum
      1 S. gallinarum-pullorum
     55 S. gordonii
     44 S. group
     53 S. haemolyticus
      3 S. hemolyticus
      4 S. hominis
     39 S. iniae
      2 S. intermedius
     51 S. lactis
      9 S. lentus
     25 S. lutea
      3 S. lutetiensis
      1 S. maltophila
    114 S. maltophilia
    167 S. marcescens
      2 S. marscencens
      2 S. marsescens
      1 S. meliloti
     11 S. melliferum
      8 S. minnesota
     66 S. mitis
     20 S. mold
      4 S. mould
      1 S. mouldd
    266 S. mutans
      1 S. mutants
     15 S. newport
      3 S. nodorum
      3 S. oneidensis
      7 S. oralis
      1 S. parasanguinis
      2 S. parasitica
     32 S. paratyphi
      1 S. pneumiae
      1 S. pneumonia
    162 S. pneumoniae
      1 S. pnumoniae
     19 S. pombe
      5 S. pseudintermedius
     52 S. pullorum
     17 S. putrefaciens
    254 S. pyogenes
      1 S. rolfsii
     21 S. rubidaea
      2 S. salford
     29 S. salivarius
     84 S. sanguinis
     35 S. sanguis
      1 S. saprophiticus
     56 S. saprophyticus
      1 S. saprophytius
     14 S. schenckii
      7 S. sciuri
      8 S. sclerotiorum
      5 S. serotype
      1 S. serrata
     23 S. simulans
      1 S. siyangense
      2 S. smith
     32 S. sobrinus
      1 S. soneii
     39 S. sonnei
     34 S. sp
      5 S. sp.
      3 S. spp
      2 S. subtilis
      9 S. suis
      1 S. thermiphylus
      1 S. thyphi
      4 S. thyphimurium
      1 S. thyphinurium
      1 S. trifoliorum
      5 S. tritici
     77 S. typhi
     12 S. typhimorium
   1181 S. typhimurium
      1 S. typhoid
      3 S. typhomurium
      1 S. typhosa
      1 S. typhymurium
    107 S. uberis
      1 S. ureae
      1 S. viridans
      1 S. wall
      6 S. warneri
     67 S. xylosus
      1 T. asahii
      2 T. basicola
     83 T. beigelii
     12 T. brucei
     14 T. cruzi
      1 T. equiperdum
      1 T. evansi
      2 T. halophilus
      4 T. hamatum
      4 T. harzianum
      8 T. human
     35 T. mentagrophytes
     33 T. rubrum
      2 T. sp
     11 T. vaginalis
      1 T. viridae
     20 T. viride
      1 U. canigenitalium
      4 U. urealyticum
      5 V. aestuarianus
      5 V. albo
    101 V. alginolyticus
    109 V. anguillarum
     10 V. atypica
      2 V. campbellii
      2 V. cholera
     63 V. cholerae
      1 V. coralliilyticus
     13 V. dahliae
      2 V. damsela
     17 V. fluvialis
     70 V. harveyi
      2 V. harveyis
      1 V. inaequalis
      2 V. logei
      6 V. metschnikovii
      1 V. metshnikovii
     13 V. nigripulchritudo
      1 V. ordalii
      1 V. parahaemdyticus
    100 V. parahaemolyticus
      1 V. parahamelytics
      2 V. parahemolyticus
      9 V. penaeicida
      4 V. salmonicida
      1 V. shiloi
      1 V. sp
     18 V. splendidus
      1 V. streptococci
      2 V. tapetis
      1 V. toreilis
     34 V. vulnificus
      4 W. cibaria
      2 W. paramesenteroides
    114 X. axonopodis
     17 X. campestris
      3 X. japonicus
      2 X. maltophilia
      3 X. nematophilus
      4 X. oryzae
    151 X. vesicatoria
     33 Y. enterocolitica
     12 Y. pestis
      4 Y. pseudotubercolosis
     40 Y. pseudotuberculosis
      1 Y. pseudotuhercolosis
     17 Y. ruckeri
      3 Y. ruckeric
      1 Y. rukeri
      3 Z. marxianus
      4 Z. mobilis
especie  mas alto
   9150 E. coli
especie  mas baja
      1 V. toreilis
      1 "L. grayi
      1 "L. innocua
      1 "L. ivanovii
      2 A. acidoterrestris
      9 A. actinomycetemcomitans
     31 A. alternata
     12 A. awamori
      2 A. bacillus
     14 A. baumanii
    676 A. baumannii
      1 A. brasiliensis
      1 A. brassicae
     27 A. brassicicola
      2 A. brassicola
     57 A. calcoaceticus
      2 A. carrageenovora
     13 A. caviae
      6 A. cinerea
      2 A. dauci
     15 A. faecalis
      1 A. favus
      1 A. fla
     87 A. flavus
      1 A. fumigates
    120 A. fumigatus
      2 A. giganteus
     33 A. globiformis
      4 A. green
      4 A. helianthi
      2 A. hydrohila
     88 A. hydrophila
      4 A. israelii
     15 A. johnsonii
     19 A. junii
     14 A. laidlawii
      2 A. longipes
      1 A. lwoffi
      1 A. lwoffii
      1 A. molecular
      5 A. myeloid
     12 A. naeslundii
     20 A. nidulans
    100 A. niger
      1 A. ochraceus
      4 A. oryzae
     14 A. parasiticus
      9 A. pisi
      4 A. pullulans
      2 A. punctata
      4 A. rabiei
      8 A. radiobacter
      8 A. rhizogenes
    113 A. salmonicida
     18 A. simii
     18 A. sobria
      1 A. solani
     36 A. sp
      2 A. sp.
      5 A. terreus
     24 A. tumefaciens
      2 A. tumerfaciens
      1 A. umigates
      4 A. ustus
      7 A. veronii
      3 A. versicolor
      1 A. vinelandii
     44 A. viridans
      6 A. viscosus
      2 A. wieringae
      9 A. xylosoxidans
     12 B. abortus
      2 B. alvei
      2 B. amyloliquefaciens
     95 B. anthracis
      5 B. bassiana
      1 B. brevis
     22 B. bronchiseptica
      5 B. cenocepacia
     29 B. cepacia
    488 B. cereus
    151 B. cinerea
     17 B. circulans
     26 B. coagulans
     44 B. dendrobatidis
     99 B. dysenteriae
      5 B. dysenterium
      1 B. elliptica
      2 B. epiphytus
      2 B. equi
      1 B. flexus
     11 B. fragilis
      2 B. globigii
     59 B. licheniformis
      3 B. longum
      7 B. magaterium
      2 B. maydis
    400 B. megaterium
      2 B. megateriun
      1 B. megateriurm
     15 B. megatherium
      1 B. mycoides
      5 B. negaterium
      1 B. pertussis
      2 B. petunia
      1 B. proteus
      3 B. pumilu
     50 B. pumilus
    286 B. pyocyaneus
      1 B. s
      7 B. simplex
     11 B. sorokiniana
      1 B. sp
      2 B. sp.
      4 B. sphaericus
      3 B. spp
      1 B. stabilis
     18 B. stationis
      3 B. stearothermophilus
   2398 B. subtilis
      3 B. subtillis
      3 B. suis
     41 B. thailandensis
      2 B. thuringensis
     54 B. thuringiensis
      1 B. ﬂexus
      4 C. acutatum
      1 C. albican
   2860 C. albicans
      4 C. aquatilis
      1 C. beticola
      2 C. bifermentans
      3 C. botulinum
      1 C. bouis
      2 C. bovis
      1 C. columnare
      1 C. comatus
     10 C. difficile
     16 C. diphtheriae
      6 C. divergens
      2 C. drobachiensis
      2 C. dubliniensis
      3 C. elegans
      2 C. fagacearum
      1 C. falcatum
      8 C. flaccumfaciens
     20 C. freundii
      3 C. fructus
      1 C. fulvum
      3 C. funditum
      2 C. gallinarum
      4 C. gastricus
      6 C. gattii
      1 C. geniculata
    150 C. glabrata
      7 C. gloeosporioides
     67 C. glutamicum
      1 C. grabrata
     21 C. graminicola
      3 C. guillermondii
     15 C. guilliermondii
     30 C. herbarum
      4 C. inconspicua
      6 C. insidiosum
     12 C. jeikeium
      2 C. jejune
     46 C. jejuni
     12 C. kefyr
      5 C. koseri
     73 C. krusei
      3 C. lagenarium
      3 C. laurentii
      3 C. lindemuthianum
      2 C. lipolytica
      1 C. lusitania
      6 C. lusitaniae
      1 C. lymphocytic
      6 C. maltaromaticum
      1 C. meningosepticum
      1 C. michiaganesis
      2 C. michiganense
    100 C. michiganensis
      8 C. mobile
     35 C. muytjensii
    248 C. neoformans
      3 C. nicotianae
      6 C. orbiculare
      4 C. paradoxa
    183 C. parapsilosis
     25 C. perfringens
      1 C. perfringensâ
      4 C. piscicola
      3 C. pseudotropicalis
     16 C. pseudotuberculosis
      3 C. renale
    140 C. sakazakii
      4 C. septicum
      9 C. sp
      5 C. sphaerospermum
      5 C. sporogenes
     18 C. spp
      1 C. striatum
      4 C. tertium
    155 C. tropicalis
      6 C. tyrobutyricum
      1 C. utilis
      2 C. wickerhamii
     75 C. xerosis
      2 C. zeylanoides
     15 D. brizae
      1 D. coniospora
      3 D. maydis
      1 D. pneumoniae
      1 D. ribution
     89 E. aerogenes
      2 E. amnigenus
    151 E. amylovora
      1 E. asbriae
      2 E. asburiae
      1 E. avicum
      1 E. avium
      1 E. carolovora
     42 E. carotovora
      3 E. casseliflavus
    360 E. cloacae
      1 E. col
   9150 E. coli
      2 E. contortum
      5 E. durans
   1012 E. faecalis
    307 E. faecium
      6 E. fecalis
      1 E. feces
      8 E. gallinarum
      8 E. helveticus
      3 E. herbicola
     14 E. hirae
      7 E. ictaluri
      1 E. jaecalis
      2 E. mundtii
      9 E. ocli
      1 E. plantarum
      2 E. sakazakii
     10 E. salicis
      1 E. spp
      2 E. spp.
      1 E. spp.i-11305b
     22 E. tarda
      1 F. aquaeductuum
      4 F. avenaceum
      2 F. breve
      1 F. bulbigenum
     67 F. culmorum
      1 F. equiseti
     53 F. graminearum
      1 F. lactis
      7 F. moniliforme
      1 F. neoformans
     25 F. nucleatum
      2 F. oxisporum
      2 F. oxyporum
    223 F. oxysporum
      1 F. poae
      1 F. proliferatum
      3 F. psychrophilum
     45 F. solani
      4 F. sp
      1 F. sporotrichioides
      4 F. varium
      5 F. verticillioides
     22 G. candidum
      2 G. graminis
      1 G. saubinetii
      3 G. stearothermophilus
      2 G. vaginalis
     23 H. acute
      1 H. annosum
      8 H. bladder
    163 H. breast
    161 H. cervical
    104 H. colon
      1 H. ducreyi
      8 H. epidermoid
     19 H. erythroleukemia
      1 H. fibrosarcoma
     40 H. gastric
     30 H. glioblastoma
     14 H. hepatocarcinoma
     81 H. hepatocellular
     77 H. histiocytic
     18 H. influenzae
      1 H. inﬂuenzae
      6 H. kidney
      5 H. leukaemia
      6 H. liver
    170 H. lung
     40 H. lymphoblastic
     15 H. melanoma
     27 H. myelogenous
      1 H. nasopharyngeal
      1 H. neuroblastoma
